Track Name,Artist(s),Album,Played At
Down In It,Nine Inch Nails,Pretty Hate Machine,2026-03-12 03:21:39.897000+00:00
Terrible Lie,Nine Inch Nails,Pretty Hate Machine,2026-03-12 03:17:53.425000+00:00
Head Like A Hole,Nine Inch Nails,Pretty Hate Machine,2026-03-12 03:13:14.337000+00:00
B.O.B. - Bombs Over Baghdad,Outkast,Stankonia,2026-03-11 19:53:34.345000+00:00
Hypnotize - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),2026-03-11 17:52:07.826000+00:00
LAST BREATH,"Ye, Kanye West",BULLY,2026-03-11 17:45:52.474000+00:00
Freestyle 4,Kanye West,The Life Of Pablo,2026-03-11 17:42:44.092000+00:00
Feedback,Kanye West,The Life Of Pablo,2026-03-11 17:40:40.230000+00:00
push the pipe,Joey Valence & Brae,HYPERYOUTH (afterparty),2026-03-11 17:38:13.714000+00:00
push the pipe,Joey Valence & Brae,HYPERYOUTH (afterparty),2026-03-11 17:32:48.558000+00:00
Dracula,Tame Impala,Deadbeat,2026-03-11 17:29:39.237000+00:00
"The Moon Cave (feat. Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda and Black Thought)","Gorillaz, Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda, Black Thought",The Mountain,2026-03-11 17:26:13.927000+00:00
Empathetic Response,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:20:10.390000+00:00
Target Identified,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:15:42.417000+00:00
Building Better Worlds,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:12:17.883000+00:00
Still Remains,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:06:49.748000+00:00
100% Expendable,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:04:55.524000+00:00
Infiltrator,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 17:00:59.968000+00:00
Permanence,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:58:12.907000+00:00
I Know You Can Feel It,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:56:43.602000+00:00
In The Image Of,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:51:21.659000+00:00
This Changes Everything,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:49:48.504000+00:00
Echoes,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:46:27.250000+00:00
As Alive As You Need Me To Be,Nine Inch Nails,TRON: Ares (Original Motion Picture Soundtrack),2026-03-11 16:42:30.346000+00:00
March Of The Pigs,Nine Inch Nails,The Downward Spiral,2026-03-11 07:48:24.550000+00:00
Coffee & TV,Blur,13,2026-03-09 23:54:40.617000+00:00
Ghost Ship,Blur,The Magic Whip,2026-03-09 19:20:13.457000+00:00
Looking Down The Barrel Of A Gun,Beastie Boys,Paul's Boutique (20th Anniversary Edition / Remastered),2026-03-09 19:03:01.072000+00:00
Go With The Flow,Queens of the Stone Age,Songs For The Deaf,2026-03-09 18:59:22.417000+00:00
Heresy,Nine Inch Nails,The Downward Spiral (Deluxe Edition),2026-03-09 18:56:14.616000+00:00
Cherub Rock - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),2026-03-09 18:48:11.412000+00:00
Sabotage,Beastie Boys,Ill Communication,2026-03-09 18:42:30.607000+00:00
Wish,Nine Inch Nails,Broken,2026-03-09 18:39:31.477000+00:00
March Of The Pigs,Nine Inch Nails,The Downward Spiral,2026-03-09 18:35:44.524000+00:00
Blood Under My Belt,The Drums,Abysmal Thoughts,2026-03-09 18:21:58.104000+00:00
Gronlandic Edit,of Montreal,"Hissing Fauna, Are You The Destroyer?",2026-03-09 18:18:51.269000+00:00
Money,The Drums,Portamento,2026-03-09 18:15:25.991000+00:00
Freedom Is Free,Chicano Batman,Freedom Is Free,2026-03-09 18:07:30.430000+00:00
Get in My Car,BRONCHO,Bad Behavior,2026-03-09 18:03:26.873000+00:00
Wraith Pinned to the Mist and Other Games,of Montreal,The Sunlandic Twins,2026-03-09 17:59:51.210000+00:00
Leave It In My Dreams,The Voidz,Virtue,2026-03-09 17:55:35.030000+00:00
Harvey,Her's,Invitation to Her's,2026-03-09 17:51:35.621000+00:00
Birds Dont Sing,TV Girl,French Exit,2026-03-09 17:47:33.445000+00:00
Pump It,Black Eyed Peas,Monkey Business,2026-03-09 17:43:12.405000+00:00
Toxic,Britney Spears,In The Zone,2026-03-08 17:52:30.833000+00:00
PUNK TACTICS,Joey Valence & Brae,PUNK TACTICS,2026-03-08 17:48:04.718000+00:00
24K Magic,Bruno Mars,24K Magic,2026-03-08 17:45:40.223000+00:00
Bangarang (feat. Sirah),"Skrillex, Sirah",Bangarang EP,2026-03-08 17:41:53.718000+00:00
Can't Get You out of My Head,Kylie Minogue,Fever,2026-03-08 17:38:13.400000+00:00
JUMP,BLACKPINK,JUMP,2026-03-08 17:34:22.466000+00:00
